Tran_Id,Cust_Id,Acct_Nbr,Channel_Nbr,Merchant_SIC,Session_Id,Tran_Duration,Tran_Date,Tran_Time,Tran_Amt,Principal_Amt,Interest_Amt,New_Balance,Merchant_Name,Merchant_City,Merchant_State,Merchant_Postal_Code,Tran_Code,Channel
1,1362610,4561143213626100,0,400,29197,15,1995-01-01T00:00:00,152738,94.36,94.36,0,815.21,Gus' Gas Station    ,Honolulu            ,HI,96830,CG,E
1,1362611,4561143213626110,0,null,29284,0,1995-01-05T00:00:00,null,718.22,689.53,28.69,1787.66,null,null,null,null,PM,M
1,1362613,4561143213626130,0,null,29378,0,1995-01-04T00:00:00,null,25.15,21.66,3.49,226.35,null,null,null,null,PM,M
1,1362618,4561143213626170,0,500,29624,41,1995-08-30T00:00:00,183733,44.48,44.48,0,44.48,Icarus Airlines     ,Mesa                ,AZ,85203,CG,E
1,1362621,4561143213626210,0,100,30919,43,1995-11-29T00:00:00,161504,192.91,192.91,0,192.91,Tofu Palace Res.    ,Mesa                ,AZ,85211,CG,E
1,1362624,4561143213626240,0,null,31526,0,1995-01-07T00:00:00,null,83.94,75.03,8.91,557.72,null,null,null,null,PM,M
1,1362625,4561143213626250,0,null,31638,0,1995-01-06T00:00:00,null,2712.73,2675.76,36.97,515.6,null,null,null,null,PM,M
1,1362630,4561143213626300,0,100,31811,30,1995-01-02T00:00:00,93942,72.37,72.37,0,2088.95,Lisa's Pasta Bar    ,Los Angeles         ,CA,90095,CG,E
1,1362632,4561143213626310,0,null,32259,0,1995-01-01T00:00:00,null,768.66,759.86,8.8,0,null,null,null,null,PM,M
1,1362633,4561143213626330,0,null,33353,0,1995-01-04T00:00:00,null,99.82,96.31,3.51,152.87,null,null,null,null,PM,M
1,1362636,4561143213626360,0,null,33959,0,1995-01-02T00:00:00,null,323.66,309.03,14.63,729.93,null,null,null,null,PM,M
1,1362637,4561143213626370,0,1200,34152,39,1995-06-15T00:00:00,133703,52.02,52.02,0,52.02,April-May Dept Store,Honolulu            ,HI,96850,CG,E
1,1362640,4561143213626400,0,700,34657,42,1995-01-02T00:00:00,144215,15.17,15.17,0,1467.96,Gary's Grocery      ,Tucson              ,AZ,85729,CG,E
1,1362641,4561143213626410,0,null,34768,0,1995-01-07T00:00:00,null,508.19,502.37,5.82,0,null,null,null,null,PM,M
1,1362642,4561143213626420,0,null,34936,38,1995-01-01T00:00:00,84949,722.81,711.95,10.86,59.21,null,null,null,null,PM,E
1,1362643,4561143213626430,0,200,35505,32,1995-01-01T00:00:00,144909,180.68,180.68,0,1716.92,Jerry's Jewelry     ,Rochester           ,NY,14675,CG,E
1,1362645,4561143213626450,0,null,35711,0,1995-01-06T00:00:00,null,268.55,239.37,29.18,1832.33,null,null,null,null,PM,M
1,1362649,4561143213626490,0,null,36306,0,1995-01-03T00:00:00,null,178.96,176.32,2.64,10.85,null,null,null,null,PM,M
1,1362650,4561143213626500,236,null,37455,41,1995-11-28T00:00:00,95130,0,0,0,0,null,null,null,null,IQ,K
1,1362653,4561143213626530,0,100,37993,44,1995-09-26T00:00:00,150355,145.39,145.39,0,145.39,Bohemian Café       ,New York City       ,NY,10188,CG,E
1,1362656,4561143213626560,0,null,38550,0,1995-01-05T00:00:00,null,431.18,418.6,12.58,474.65,null,null,null,null,PM,M
1,1362658,4561143213626580,0,null,38700,0,1995-01-01T00:00:00,null,696.58,645.45,51.13,3768.78,null,null,null,null,PM,M
1,1362661,4561143213626610,0,null,38980,0,1995-01-04T00:00:00,null,867.89,854.85,13.04,71.2,null,null,null,null,PM,M
1,1362663,4561143213626630,0,null,39358,0,1995-01-03T00:00:00,null,138.75,117.57,21.18,1711.3,null,null,null,null,PM,M
1,1362671,4561143213626710,0,100,40470,18,1995-10-16T00:00:00,152446,41.39,41.39,0,41.39,Tofu Palace Res.    ,New Orleans         ,LA,70192,CG,E
1,1362672,4561143213626720,0,200,40608,34,1995-08-27T00:00:00,232229,93.21,93.21,0,93.21,Jerry's Jewelry     ,Omaha               ,NB,68134,CG,E
1,1362675,4561143213626750,0,null,41084,0,1995-01-02T00:00:00,null,15.54,13.38,2.16,139.88,null,null,null,null,PM,M
1,1362681,4561143213626800,0,900,41631,18,1995-10-03T00:00:00,225928,93.56,93.56,0,93.56,PCs-R-Us            ,San Diego           ,CA,92195,CG,E
1,1362683,4561143213626830,0,null,42281,0,1995-01-04T00:00:00,null,2590.89,2557.34,33.55,339.33,null,null,null,null,PM,M
1,1362685,4561143213626850,0,1000,42379,21,1995-05-14T00:00:00,140635,151.14,151.14,0,151.14,Lala Land           ,Houston             ,TX,77225,CG,E
1,1362688,4561143213626870,0,400,42943,26,1995-05-04T00:00:00,215610,73.86,73.86,0,73.86,Ollie's Oil Co.     ,Chicago             ,IL,60625,CG,E
1,1362690,4561143213626900,0,null,43538,0,1995-01-01T00:00:00,null,10,8.79,1.21,77.3,null,null,null,null,PM,M
1,1362693,4561143213626930,0,1100,43981,27,1995-07-11T00:00:00,114329,165.99,165.99,0,165.99,Harry's Hardware    ,Philadelphia        ,PA,19146,CG,E
1,1362694,4561143213626940,1,null,44371,57,1995-01-01T00:00:00,101508,518.98,502.7,16.28,653.53,null,null,null,null,PM,C
1,1362698,4561143213626980,0,500,45021,33,1995-01-02T00:00:00,91458,347.14,347.14,0,2500,Puddle Jump Airline ,Houston             ,TX,77228,CG,E
1,1362699,4561143213626990,0,200,45763,22,1995-01-03T00:00:00,131720,521.6,521.6,0,673.23,Buy The Book        ,Houston             ,TX,77145,CG,E
1,1362700,4561143213627000,1,null,46171,55,1995-01-05T00:00:00,31710,205.74,200.53,5.21,169.25,null,null,null,null,PM,C
1,1362703,4561143213627030,0,null,46829,0,1995-01-03T00:00:00,null,1205.54,1188.11,17.43,49.75,null,null,null,null,PM,M
1,1362705,4561143213627050,0,500,47315,35,1995-02-16T00:00:00,33855,80.92,80.92,0,80.92,Wing-and-Prayer Air ,St Louis            ,MO,63173,CG,E
1,1362708,4561143213627080,0,null,47788,26,1995-01-05T00:00:00,105038,27.95,24.07,3.88,251.57,null,null,null,null,PM,E
1,1362709,4561143213627090,1,null,48434,56,1995-01-02T00:00:00,182405,270.09,266.34,3.75,0,null,null,null,null,PM,C
1,1362714,4561143213627140,0,null,49499,0,1995-01-01T00:00:00,null,177.76,175.29,2.47,0,null,null,null,null,PM,M
1,1362716,4561143213627150,1,null,49597,38,1995-01-05T00:00:00,60324,379.38,374.53,4.85,44.46,null,null,null,null,PM,C
1,1362717,4561143213627170,0,200,50075,40,1995-10-25T00:00:00,164123,26.19,26.19,0,26.19,Dog World           ,New York City       ,NY,10103,CG,E
1,1362719,4561143213627180,0,null,50231,0,1995-01-02T00:00:00,null,224.71,197.55,27.16,1730.78,null,null,null,null,PM,M
1,1362720,4561143213627200,0,500,50338,37,1995-08-07T00:00:00,123620,110.47,110.47,0,110.47,Prop-Jet Airways    ,Chicago             ,IL,60654,CG,E
1,1362721,4561143213627210,1,null,51502,43,1995-10-19T00:00:00,231351,0,0,0,0,null,null,null,null,IQ,C
1,1362722,4561143213627220,0,400,51613,41,1995-02-14T00:00:00,160223,99.93,99.93,0,99.93,Ollie's Oil Co.     ,Arlington           ,TX,76012,CG,E
1,1362725,4561143213627250,0,300,51902,38,1995-03-07T00:00:00,224239,483.77,483.77,0,483.77,Acme Car Rental     ,St Louis            ,MO,63180,CG,E
1,1362726,4561143213627260,0,null,52416,0,1995-01-06T00:00:00,null,1318.4,1297.13,21.27,539.08,null,null,null,null,PM,M
1,1362730,4561143213627300,0,1300,53190,33,1995-09-01T00:00:00,152659,177.01,177.01,0,177.01,Terry's Trucks      ,Seattle             ,WA,98183,CG,E
1,1362735,4561143213627350,0,100,54295,25,1995-12-21T00:00:00,100224,107.14,107.14,0,107.14,Haveacow Steakhouse ,Newark              ,NJ,7143,CG,E
1,1362736,4561143213627360,1,null,54963,42,1995-01-01T00:00:00,113511,874.95,862.8,12.15,0,null,null,null,null,PM,C
1,1362737,4561143213627370,0,900,55117,27,1995-10-12T00:00:00,165738,291,291,0,291,PCs-R-Us            ,New York City       ,NY,10005,CG,E
1,1362740,4561143213627400,0,null,55511,0,1995-01-01T00:00:00,null,248.46,230.35,18.11,1333.48,null,null,null,null,PM,M
1,1362742,4561143213627420,0,null,55692,0,1995-01-01T00:00:00,null,2436.42,2406.99,29.43,133.57,null,null,null,null,PM,M
1,1362743,4561143213627430,0,100,55796,20,1995-10-10T00:00:00,102846,231.93,231.93,0,231.93,Lisa's Pasta Bar    ,Memphis             ,TN,38125,CG,E
1,1362744,4561143213627440,0,null,56332,0,1995-01-04T00:00:00,null,333.13,328.5,4.63,0,null,null,null,null,PM,M
1,1362746,4561143213627460,0,null,57394,0,1995-01-07T00:00:00,null,558.73,544.12,14.61,492.99,null,null,null,null,PM,M
1,1362749,4561143213627490,165,null,57879,230,1995-01-07T00:00:00,61410,105.53,89.42,16.11,1301.59,null,null,null,null,PM,B
1,1362752,4561143213627520,0,null,58476,0,1995-01-02T00:00:00,null,1066.73,1034.31,32.42,1267.83,null,null,null,null,PM,M
1,1362753,4561143213627530,0,null,58628,34,1995-01-06T00:00:00,165212,167.25,141.72,25.53,2062.74,null,null,null,null,PM,E
1,1362754,4561143213627540,0,null,58723,0,1995-01-06T00:00:00,null,75.21,74.35,0.86,0,null,null,null,null,PM,M
1,1362759,4561143213627590,0,null,59417,0,1995-01-02T00:00:00,null,1338.65,1320.06,18.59,0,null,null,null,null,PM,M
1,1362761,4561143213627610,0,null,60041,0,1995-01-05T00:00:00,null,571.88,560.88,11,220.05,null,null,null,null,PM,M
1,1362764,4561143213627630,0,700,60150,18,1995-06-22T00:00:00,214701,131.26,131.26,0,131.26,Mary's Market       ,San Francisco       ,CA,94181,CG,E
1,1362766,4561143213627660,0,700,60886,38,1995-01-02T00:00:00,50031,100.33,100.33,0,5100,Gary's Grocery      ,Chicago             ,IL,60664,CG,E
1,1362767,4561143213627670,0,1200,61994,36,1995-04-18T00:00:00,82803,17.82,17.82,0,17.82,April-May Dept Store,Chicago             ,IL,60642,CG,E
1,1362769,4561143213627690,0,1200,62565,17,1995-05-07T00:00:00,103208,123.73,123.73,0,123.73,Cassandras Casuals  ,San Francisco       ,CA,94149,CG,E
1,1362770,4561143213627700,0,1000,62643,16,1995-01-04T00:00:00,110413,154.84,154.84,0,3800,Tim's Trout Fishing ,Los Angeles         ,CA,90079,CG,E
1,1362771,4561143213627710,0,null,63205,0,1995-01-01T00:00:00,null,1113.02,1097.14,15.88,30.4,null,null,null,null,PM,M
1,1362776,4561143213627750,0,null,64902,0,1995-01-03T00:00:00,null,225.81,219.25,6.56,246.81,null,null,null,null,PM,M
1,1362777,4561143213627770,0,100,65074,38,1995-04-10T00:00:00,112622,188.18,188.18,0,188.18,Sushi To Go         ,Los Angeles         ,CA,90085,CG,E
1,1362785,4561143213627840,0,null,66147,0,1995-01-01T00:00:00,null,1008.55,972.56,35.99,1583.15,null,null,null,null,PM,M
1,1362791,4561143213627910,0,null,66653,0,1995-01-01T00:00:00,null,3151.82,3115.73,36.09,0,null,null,null,null,PM,M
1,1362793,4561143213627930,1,null,67303,49,1995-01-07T00:00:00,15631,585.49,575.43,10.06,139,null,null,null,null,PM,C
1,1362797,4561143213627970,0,null,67631,0,1995-01-02T00:00:00,null,100.7,99.14,1.56,11.93,null,null,null,null,PM,M
1,1362801,4561143213628010,0,null,67816,0,1995-01-07T00:00:00,null,253.07,247.52,5.55,146.28,null,null,null,null,PM,M
1,1362805,4561143213628050,0,null,68457,0,1995-01-04T00:00:00,null,286.86,282.88,3.98,0,null,null,null,null,PM,M
1,1362806,4561143213628060,0,null,69095,0,1995-01-04T00:00:00,null,152.9,150.42,2.48,64.04,null,null,null,null,PM,M
1,1362808,4561143213628080,0,100,69761,27,1995-12-23T00:00:00,4809,56.72,56.72,0,56.72,Tofu Palace Res.    ,Los Angeles         ,CA,90072,CG,E
1,1362809,4561143213628090,0,null,70592,0,1995-01-04T00:00:00,null,601.12,572.38,28.74,1909.09,null,null,null,null,PM,M
1,1362810,4561143213628100,0,100,70728,23,1995-01-04T00:00:00,164331,161.53,161.53,0,2646.81,Bohemian Café       ,Indianapolis        ,IN,46267,CG,E
1,1362811,4561143213628110,0,null,70907,0,1995-01-07T00:00:00,null,59.53,57.99,1.54,51.24,null,null,null,null,PM,M
1,1362814,4561143213628140,0,100,71628,38,1995-08-07T00:00:00,42223,44.96,44.96,0,44.96,Dale's Donuts       ,Chicago             ,IL,60647,CG,E
1,1362815,4561143213628150,0,700,72538,44,1995-10-28T00:00:00,114033,51.39,51.39,0,51.39,Soupy's Supermarket ,Chicago             ,IL,60618,CG,E
1,1362816,4561143213628160,0,null,73172,0,1995-01-03T00:00:00,null,794.06,780.36,13.7,402.16,null,null,null,null,PM,M
1,1362817,4561143213628170,0,null,73705,0,1995-01-02T00:00:00,null,20.96,18.05,2.91,188.61,null,null,null,null,PM,M
1,1362820,4561143213628200,0,null,73997,0,1995-01-04T00:00:00,null,574.61,518.12,56.49,3493.13,null,null,null,null,PM,M
1,1362821,4561143213628210,0,null,74514,0,1995-01-03T00:00:00,null,469.81,456.18,13.63,511.68,null,null,null,null,PM,M
1,1362822,4561143213628220,0,800,74648,19,1995-11-18T00:00:00,163843,143.95,143.95,0,143.95,Manic Motor Inn     ,Chicago             ,IL,60655,CG,E
1,1362823,4561143213628230,0,null,75532,0,1995-01-01T00:00:00,null,1048.95,1018.05,30.9,1176.09,null,null,null,null,PM,M
1,1362824,4561143213628240,0,null,75653,0,1995-01-02T00:00:00,null,1339.77,1217.07,122.7,9376.14,null,null,null,null,PM,M
1,1362825,4561143213628250,0,null,76085,0,1995-01-03T00:00:00,null,98.19,84.55,13.64,883.67,null,null,null,null,PM,M
1,1362828,4561143213628280,0,null,77245,0,1995-01-03T00:00:00,null,18.7,16.1,2.6,168.25,null,null,null,null,PM,M
1,1362829,4561143213628290,0,1100,77312,18,1995-03-02T00:00:00,191618,238.67,238.67,0,238.67,Paul's Plumbing     ,San Francisco       ,CA,94157,CG,E
1,1362830,4561143213628300,1,null,77570,40,1995-01-02T00:00:00,202109,0,0,0,640.41,null,null,null,null,IQ,C
1,1362831,4561143213628310,1,null,77916,33,1995-01-06T00:00:00,222755,494.99,426.25,68.74,4454.88,null,null,null,null,PM,C
1,1362832,4561143213628320,0,400,77980,44,1995-11-18T00:00:00,112440,144.83,144.83,0,144.83,Ollie's Oil Co.     ,Detroit             ,MI,48209,CG,E
1,1362835,4561143213628350,0,null,78358,0,1995-01-06T00:00:00,null,25.45,23.09,2.36,144.83,null,null,null,null,PM,M
1,1362836,4561143213628360,0,null,78552,0,1995-01-02T00:00:00,null,10,9.21,0.79,46.69,null,null,null,null,PM,M
1,1362838,4561143213628370,0,800,79268,16,1995-07-03T00:00:00,145506,102.2,102.2,0,102.2,Bed Bug Inn         ,Phoenix             ,AZ,85034,CG,E
1,1362839,4561143213628390,0,null,79608,23,1995-01-05T00:00:00,144302,3223.16,3180.99,42.17,459.89,null,null,null,null,PM,E
1,1362844,4561143213628440,0,1300,81231,33,1995-01-06T00:00:00,131749,74.82,74.82,0,495.31,Arnie's Auto Parts  ,Boston              ,MA,2188,CG,E
1,1362845,4561143213628450,0,null,81441,0,1995-01-01T00:00:00,null,1234.57,1182.59,51.98,2508.64,null,null,null,null,PM,M
1,1362849,4561143213628490,0,null,81701,0,1995-01-01T00:00:00,null,1072.17,1057.28,14.89,0,null,null,null,null,PM,M
1,1362850,4561143213628500,0,null,82166,0,1995-01-04T00:00:00,null,68.75,65.3,3.45,179.79,null,null,null,null,PM,M
1,1362852,4561143213628520,0,null,82453,0,1995-01-01T00:00:00,null,164.61,141.75,22.86,1481.53,null,null,null,null,PM,M
1,1362853,4561143213628530,0,900,82593,33,1995-09-14T00:00:00,145700,330.9,330.9,0,330.9,Surplus Servers     ,Newark              ,NJ,7122,CG,E
1,1362857,4561143213628570,0,1300,83259,42,1995-01-02T00:00:00,34937,60.62,60.62,0,73.73,Carl's Car Showroom ,Milwaukee           ,WI,53207,CG,E
1,1362858,4561143213628580,0,800,83637,23,1995-01-05T00:00:00,151225,203.29,203.29,0,203.29,Flea Trap Motel     ,Los Angeles         ,CA,90069,CG,E
1,1362868,4561143213628680,0,null,84808,0,1995-01-06T00:00:00,null,523.97,514.23,9.74,177.6,null,null,null,null,PM,M
1,1362872,4561143213628720,0,null,85114,0,1995-01-01T00:00:00,null,96.32,92.2,4.12,200.21,null,null,null,null,PM,M
1,1362875,4561143213628750,0,null,85370,0,1995-01-05T00:00:00,null,213.26,180.7,32.56,2630.21,null,null,null,null,PM,M
1,1362877,4561143213628770,0,null,85732,0,1995-01-02T00:00:00,null,65.55,64.64,0.91,0,null,null,null,null,PM,M
1,1362881,4561143213628810,0,null,86293,0,1995-01-01T00:00:00,null,497.87,490.96,6.91,0,null,null,null,null,PM,M
1,1362882,4561143213628820,0,null,86547,0,1995-01-05T00:00:00,null,575.75,546.75,29,1512.17,null,null,null,null,PM,M
1,1362888,4561143213628880,0,null,87463,0,1995-01-01T00:00:00,null,1817.67,1704.67,113,9689.99,null,null,null,null,PM,M
1,1362894,4561143213628940,1,null,88308,17,1995-01-01T00:00:00,84833,0,0,0,1500.62,null,null,null,null,IQ,V
1,1362896,4561143213628950,0,1000,88417,37,1995-10-06T00:00:00,82425,136.82,136.82,0,136.82,Tim's Trout Fishing ,New York City       ,NY,10231,CG,E
1,1362902,4561143213629020,0,null,89877,0,1995-01-04T00:00:00,null,277.3,273.45,3.85,0,null,null,null,null,PM,M
1,1362903,4561143213629030,0,null,90277,0,1995-01-01T00:00:00,null,158.19,136.22,21.97,1423.72,null,null,null,null,PM,M
1,1362904,4561143213629040,0,null,90406,0,1995-01-03T00:00:00,null,953.55,936.8,16.75,508.89,null,null,null,null,PM,M
1,1362905,4561143213629050,0,null,90552,31,1995-01-02T00:00:00,155534,74.76,64.38,10.38,672.82,null,null,null,null,PM,E
1,1362909,4561143213629090,0,null,90794,0,1995-01-05T00:00:00,null,1072.11,1015.77,56.34,2984.45,null,null,null,null,PM,M
1,1362911,4561143213629110,0,null,90923,0,1995-01-01T00:00:00,null,590.7,571.99,18.71,756.84,null,null,null,null,PM,M
1,1362912,4561143213629120,0,null,91357,0,1995-01-04T00:00:00,null,131.73,113.44,18.29,1185.57,null,null,null,null,PM,M
1,1362917,4561143213629170,0,1200,92057,19,1995-12-13T00:00:00,43655,133.8,133.8,0,133.8,Suitable Suits      ,Indianapolis        ,IN,46209,CG,E
1,1362918,4561143213629180,0,null,92392,0,1995-01-02T00:00:00,null,35.04,30.17,4.87,315.33,null,null,null,null,PM,M
1,1362921,4561143213629210,0,null,93017,0,1995-01-01T00:00:00,null,270.05,243.72,26.33,2029.48,null,null,null,null,PM,M
1,1362924,4561143213629240,0,100,93193,38,1995-09-02T00:00:00,84631,194.41,194.41,0,194.41,The Big Squid       ,Baltimore           ,MD,21218,CG,E
1,1362925,4561143213629250,0,null,93358,0,1995-01-05T00:00:00,null,58.79,55.06,3.73,209.62,null,null,null,null,PM,M
1,1362927,4561143213629260,0,null,93501,0,1995-01-04T00:00:00,null,228.27,214.94,13.33,731.78,null,null,null,null,PM,M
1,1362928,4561143213629280,0,1200,93724,42,1995-01-03T00:00:00,215834,27.58,27.58,0,976.6,Sherry's Shoes      ,New York City       ,NY,10137,CG,E
1,1362929,4561143213629290,0,1100,94353,23,1995-06-30T00:00:00,185938,268.58,268.58,0,268.58,Harry's Hardware    ,Austin              ,TX,78768,CG,E
1,1362930,4561143213629300,0,null,94595,0,1995-01-02T00:00:00,null,900.85,886.58,14.27,126.88,null,null,null,null,PM,M
